job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,Cleaned_Salary,Cleaned_Revenue,Seniority_Binary,skills_parsed,work_type
machine learning engineer,senior,on-site,company_065,"Toronto, Ontario, Canada",a month ago,"Cherry Hill, NJ, US",Technology,Private,"26,030",Private,"€137,008 - €173,541","['pytorch', 'spark', 'aws', 'database', 'sql', 'machine learning', 'deep learning', 'azure', 'tensorflow']",155274.5,,senior,aws | azure | database | deep learning | machine learning | pytorch | spark | sql | tensorflow,onsite
machine learning engineer,senior,hybrid,company_836,"Dublin, Ireland . Hybrid",6 days ago,"San Francisco, CA, US",Technology,Private,630,€1.27B,"€98,012",[],98012.0,1.27,senior,,hybrid
data scientist,senior,on-site,company_316,"Bengaluru, Karnataka, India",14 days ago,"Eden Prairie, MN, US",Healthcare,Public,"37,960",Public,"€29,797 - €32,901","['spark', 'aws', 'python', 'sql', 'machine learning', 'deep learning', 'azure']",31349.0,,senior,aws | azure | deep learning | machine learning | python | spark | sql,onsite
data scientist,senior,hybrid,company_662,"Redwood City, CA (Hybrid) . Hybrid",6 days ago,"Redwood City, CA, US",Technology,Private,600,Private,"€220,119",[],220119.0,,senior,,hybrid
machine learning engineer,senior,hybrid,company_690,"Pittsburgh, PA . Hybrid",7 days ago,"Maplewood, MN, US",Healthcare,Public,"22,060",Public,"€108,761 - €132,929","['pytorch', 'aws', 'python', 'machine learning', 'deep learning']",120845.0,,senior,aws | deep learning | machine learning | python | pytorch,hybrid
data scientist,lead,on-site,company_184,"New York, NY",5 days ago,"New York, NY, US",Retail,Public,"130,040",€5.23B,"€137,000","['sql', 'machine learning', 'r', 'python']",137000.0,5.23,senior,machine learning | python | r | sql,onsite
data scientist,senior,on-site,company_015,"Los Angeles County, CA",7 days ago,"Menlo Park, CA, US",Technology,Public,900,Public,"€121,475 - €132,435","['pandas', 'numpy', 'pytorch', 'aws', 'scikit-learn', 'python', 'scipy', 'sql', 'machine learning', 'gcp', 'azure', 'tensorflow']",126955.0,,senior,aws | azure | gcp | machine learning | numpy | pandas | python | pytorch | scikit-learn | scipy | sql | tensorflow,onsite
data scientist,senior,on-site,company_134,"Arlington, VA . Bellevue, WA",a day ago,"Seattle, WA, US",Retail,Public,"865,436",€832.81B,"€155,268 - €177,188","['amazon', 'aws', 'r', 'python', 'sql', 'machine learning', 'tableau']",166228.0,832.81,senior,amazon | aws | machine learning | python | r | sql | tableau,onsite
data scientist,senior,on-site,company_763,"Princeton, NJ . New York, NY",19 days ago,"New York, NY, US",Technology,Public,"26,630",Public,"€118,737 - €168,970","['pytorch', 'python', 'machine learning', 'keras', 'deep learning', 'tensorflow']",143853.5,,senior,deep learning | keras | machine learning | python | pytorch | tensorflow,onsite
data scientist,midlevel,on-site,company_269,"Chennai, Tamil Nadu, India . Hyderabad, Telangana, India",a month ago,"Charlotte, NC, US",Finance,Public,"274,280",€276.82B,"€20,926","['hadoop', 'git', 'gcp', 'python']",20926.0,276.82,junior,gcp | git | hadoop | python,onsite
data scientist,senior,remote,company_832,"Washington, United States",7 days ago,"Renton, WA, US",Healthcare,,"120,040",Nonprofit,"€159,834","['r', 'python', 'scala', 'sql', 'machine learning', 'database', 'azure', 'tableau']",159834.0,,senior,azure | database | machine learning | python | r | scala | sql | tableau,remote
data scientist,senior,remote,company_141,"Fort Worth, TX",14 days ago,"Bethesda, MD, US",Technology,Public,"108,650",€117.13B,"€100,474 - €132,440",['machine learning'],116457.0,117.13,senior,machine learning,remote
data scientist,senior,hybrid,company_840,"East Coast, United States . New York, United States . Hybrid",a month ago,"Altrincham, GB",Healthcare,Private,240,Private,"€124,220 - €168,060",[],146140.0,,senior,,hybrid
data scientist,,remote,company_845,Fully Remote,5 days ago,"San Francisco, CA, US",Finance,Private,457,Private,"€115,085 - €152,531",[],133808.0,,,,remote
data scientist,lead,hybrid,company_846,"Greater Birmingham, Alabama Area . Hybrid",14 days ago,"Boulder, CO, US",Energy,Private,240,Private,"€118,740 - €155,273",[],137006.5,,senior,,hybrid
data scientist,senior,hybrid,company_313,"Markham, Ontario, Canada . Toronto, Ontario, Canada . Hybrid",a month ago,"London, GB",Finance,Public,"29,490",Public,"€73,454","['machine learning', 'python']",73454.0,,senior,machine learning | python,hybrid
data scientist,senior,remote,company_572,Fully Remote,19 days ago,"San Francisco, CA, US",Technology,Private,45,Private,"€155,266 - €178,099",[],166682.5,,senior,,remote
